순번,생산라인코드,생산일자,작업장코드,충전실온도,실링온도,쿠킹온도,쿠킹스팀압력,실링압력,생산시간,오류발생작업장명,Error_Message,발생시간,종료시간,오류조치시간_보정,비가동코드,오류발생여부,Error_label,Error_name,Error_class,name,year
2,C007,2011-01-04,W003,72.09691413,111.5969141,146.7322641,23.424,206.445,73.03,,,,,,,0,110,정상,0,0:정상,2011
3,P004,2011-01-04,W007,71.35006128,92.15006128,127.1305613,23.32,206.463,70.39,,,,,,,0,110,정상,0,0:정상,2011
4,C007,2011-01-04,W003,72.08087814,110.7808781,146.0947281,23.543,209.58,75.33,,,,,,,0,110,정상,0,0:정상,2011
5,C003,2011-01-04,W003,71.23287364,119.1328736,154.1094236,23.318,204.41,76.04,,,,,,,0,110,정상,0,0:정상,2011
6,D003,2011-01-04,W005,71.40819855,101.8081986,137.4624486,23.77,210.24,77.52,,,,,,,0,110,정상,0,0:정상,2011
7,D011,2011-01-04,W005,71.58746958,103.9874696,138.7361196,23.166,204.974,,충전실,대기,18:54,19:03,9.0,W005711,1,29,대기,1,1:공정 전 발생,2011
8,D003,2011-01-04,W005,70.06784844,118.4678484,153.6663484,23.466,209.803,75.44,,,,,,,0,110,정상,0,0:정상,2011
9,D004,2011-01-04,W005,71.66188794,86.36188794,121.9319379,23.713,205.269,73.34,,,,,,,0,110,정상,0,0:정상,2011
10,D004,2011-01-04,W005,71.6880898,125.9880898,162.1559898,24.112,207.086,77.36,,,,,,,0,110,정상,0,0:정상,2011
11,D004,2011-01-04,W005,70.7520865,132.7520865,168.4118365,23.773,212.997,75.93,,,,,,,0,110,정상,0,0:정상,2011
12,D004,2011-01-04,W005,70.9865706,111.3865706,146.7977206,23.607,206.096,73.09,,,,,,,0,110,정상,0,0:정상,2011
18,D013,2011-01-04,W005,72.79987351,101.5998735,136.9588735,23.573,207.618,76.39,,,,,,,0,110,정상,0,0:정상,2011
19,D004,2011-01-04,W005,72.46563972,128.0656397,164.1208897,24.037,207.934,77.08,,,,,,,0,110,정상,0,0:정상,2011
20,P004,2011-01-04,W007,72.44402183,119.9440218,155.6559718,23.808,211.701,73.88,,,,,,,0,110,정상,0,0:정상,2011
21,D013,2011-01-04,W005,70.5106791,110.7106791,146.0826791,23.581,207.595,79.09,,,,,,,0,110,정상,0,0:정상,2011
22,D004,2011-01-04,W005,71.62785006,116.3278501,151.5121501,23.456,201.717,71.67,,,,,,,0,110,정상,0,0:정상,2011
23,D004,2011-01-04,W005,71.79898164,96.59898164,131.7191316,23.413,203.25,72.96,,,,,,,0,110,정상,0,0:정상,2011
24,D004,2011-01-04,W005,70.29552834,92.99552834,128.9775283,23.988,206.153,73.48,,,,,,,0,110,정상,0,0:정상,2011
25,D004,2011-01-04,W005,70.76867627,112.4686763,147.8274263,23.573,206.154,73.94,,,,,,,0,110,정상,0,0:정상,2011
26,D004,2011-01-04,W005,72.49547794,90.99547794,126.4873779,23.661,208.101,73.12,,,,,,,0,110,정상,0,0:정상,2011
27,D004,2011-01-04,W005,71.89889409,137.8988941,173.6784941,23.853,207.965,79.67,,,,,,,0,110,정상,0,0:정상,2011
28,D004,2011-01-04,W005,69.88672936,109.2867294,144.2328294,23.297,204.086,73.49,,,,,,,0,110,정상,0,0:정상,2011
29,D004,2011-01-04,W005,73.25424508,115.5542451,150.9681451,23.609,206.183,78.55,,,,,,,0,110,정상,0,0:정상,2011
30,D004,2011-01-04,W005,72.20394189,107.7039419,142.9089919,23.47,203.022,78.42,,,,,,,0,110,정상,0,0:정상,2011
1,C007,2011-01-05,W003,73.4008259,112.1008259,147.9318759,23.887,213.278,75.89,,,,,,,0,110,정상,0,0:정상,2011
2,C002,2011-01-05,W003,70.5409949,102.4409949,137.1351949,23.129,204.249,,쿠킹실,충전,9:51,9:58,7.0,W003452,1,96,충전,2,2:공정 중 발생,2011
3,C003,2011-01-05,W003,70.24706473,104.1470647,139.5259647,23.586,209.481,78.79,,,,,,,0,110,정상,0,0:정상,2011
4,C003,2011-01-05,W003,71.37893382,95.07893382,130.4175838,23.559,208.423,73.36,,,,,,,0,110,정상,0,0:정상,2011
5,C002,2011-01-05,W003,72.30230685,113.4023069,149.0059069,23.736,207.12,75.97,,,,,,,0,110,정상,0,0:정상,2011
6,D011,2011-01-05,W005,71.71555925,102.6155593,137.7913593,23.451,209.609,78.95,,,,,,,0,110,정상,0,0:정상,2011
7,D001,2011-01-05,W005,71.87174457,140.1717446,175.6992446,23.685,212.512,71.55,,,,,,,0,110,정상,0,0:정상,2011
8,C001,2011-01-05,W003,71.17961274,119.2796127,154.4511127,23.448,207.786,78.87,,,,,,,0,110,정상,0,0:정상,2011
9,C007,2011-01-05,W003,73.07053909,97.87053909,133.6249891,23.836,208.122,71.65,,,,,,,0,110,정상,0,0:정상,2011
10,D005,2011-01-05,W005,70.21744963,118.1174496,153.8594496,23.828,213.004,74.34,,,,,,,0,110,정상,0,0:정상,2011
11,D005,2011-01-05,W005,71.61831702,140.318317,175.340217,23.348,203.857,74.57,,,,,,,0,110,정상,0,0:정상,2011
12,D005,2011-01-05,W005,72.85429353,101.3542935,136.7962435,23.628,212.88,72.6,,,,,,,0,110,정상,0,0:정상,2011
13,D004,2011-01-05,W005,72.52941044,111.4294104,146.9028104,23.649,206.564,72.35,,,,,,,0,110,정상,0,0:정상,2011
13,P004,2011-01-05,W007,71.40118882,111.9011888,146.5857388,23.123,200.068,,포장실,구동부,18:20,20:44,144.0,W0076B2,1,18,구동부,2,2:공정 중 발생,2011
14,D004,2011-01-05,W005,70.94083574,93.74083574,128.8846357,23.429,205.865,76.31,,,,,,,0,110,정상,0,0:정상,2011
14,D004,2011-01-05,W005,70.89570383,112.5957038,148.0671538,23.648,209.952,74.31,,,,,,,0,110,정상,0,0:정상,2011
15,P004,2011-01-05,W007,71.42608392,113.3260839,148.7923839,23.644,208.473,76.84,,,,,,,0,110,정상,0,0:정상,2011
15,D005,2011-01-05,W005,70.48686884,107.1868688,142.6785188,23.661,203.697,74.56,,,,,,,0,110,정상,0,0:정상,2011
16,D004,2011-01-05,W005,71.97628574,119.9762857,155.2474857,23.514,214.701,74.59,,,,,,,0,110,정상,0,0:정상,2011
16,C003,2011-01-05,W003,71.63310662,98.83310662,134.5712066,23.825,205.944,79.14,,,,,,,0,110,정상,0,0:정상,2011
17,D005,2011-01-05,W005,71.64458798,90.54458798,125.521938,23.318,197.785,78.03,,,,,,,0,110,정상,0,0:정상,2011
18,P004,2011-01-05,W007,72.4179511,122.3179511,158.2237511,23.937,208.914,74.56,,,,,,,0,110,정상,0,0:정상,2011
19,D006,2011-01-05,W005,70.31047298,127.710473,163.557873,23.898,210.507,73.03,,,,,,,0,110,정상,0,0:정상,2011
1,C003,2011-01-06,W003,72.06359516,99.86359516,135.8215952,23.972,210.02,77.66,,,,,,,0,110,정상,0,0:정상,2011
2,C001,2011-01-06,W003,71.58769537,93.98769537,129.0033454,23.344,202.473,75.92,,,,,,,0,110,정상,0,0:정상,2011
3,C003,2011-01-06,W003,71.29725365,91.59725365,127.3897537,23.862,207.712,80.33,,,,,,,0,110,정상,0,0:정상,2011
4,C003,2011-01-06,W003,70.55785328,109.9578533,145.7491033,23.861,208.767,77.19,,,,,,,0,110,정상,0,0:정상,2011
5,C001,2011-01-06,W003,71.47601287,99.27601287,134.9689129,23.795,205.089,79.76,,,,,,,0,110,정상,0,0:정상,2011
6,C007,2011-01-06,W003,73.15026297,108.250263,144.826663,24.384,212.975,80.53,,,,,,,0,110,정상,0,0:정상,2011
7,C010,2011-01-06,W003,72.72796384,76.62796384,112.3698138,23.828,204.953,75.82,,,,,,,0,110,정상,0,0:정상,2011
8,C003,2011-01-06,W003,73.05187288,112.5518729,148.0979729,23.697,205.991,75.43,,,,,,,0,110,정상,0,0:정상,2011
9,P011,2011-01-06,W007,71.53267432,102.3326743,138.0214243,23.793,208.614,77.1,,,,,,,0,110,정상,0,0:정상,2011
10,D007,2011-01-06,W005,72.12393033,101.9239303,136.7691303,23.23,208.276,75.23,,,,,,,0,110,정상,0,0:정상,2011
11,C005,2011-01-06,W003,70.92208255,104.9220826,140.6071326,23.79,207.907,72.52,,,,,,,0,110,정상,0,0:정상,2011
20,D011,2011-01-06,W005,71.2666461,85.8666461,121.5369461,23.78,211.721,73.31,,,,,,,0,110,정상,0,0:정상,2011
21,C006,2011-01-06,W003,71.3285473,132.9285473,167.8032973,23.25,204.228,75.27,,,,,,,0,110,정상,0,0:정상,2011
22,D004,2011-01-06,W005,71.74877623,119.6487762,155.2793262,23.754,206.95,72.56,,,,,,,0,110,정상,0,0:정상,2011
23,D004,2011-01-06,W005,69.54038852,112.8403885,148.4078885,23.712,209.362,71.91,,,,,,,0,110,정상,0,0:정상,2011
24,D004,2011-01-06,W005,70.55108789,103.8510879,139.6249879,23.849,211.681,73.14,,,,,,,0,110,정상,0,0:정상,2011
25,D004,2011-01-06,W005,70.13141548,102.4314155,137.9155655,23.656,207.683,79.73,,,,,,,0,110,정상,0,0:정상,2011
26,P004,2011-01-06,W007,70.56618803,87.46618803,122.897438,23.621,205.822,79.65,,,,,,,0,110,정상,0,0:정상,2011
27,D004,2011-01-06,W005,70.72224669,119.0222467,154.3619967,23.56,204.461,73.01,,,,,,,0,110,정상,0,0:정상,2011
28,D004,2011-01-06,W005,71.36405552,93.56405552,128.7059055,23.428,208.128,74.84,,,,,,,0,110,정상,0,0:정상,2011
29,P004,2011-01-06,W007,71.28843884,125.0884388,160.2434888,23.437,205.233,76.77,,,,,,,0,110,정상,0,0:정상,2011
1,C002,2011-01-07,W003,71.62391591,120.4239159,155.9943159,23.714,212.47,79.53,,,,,,,0,110,정상,0,0:정상,2011
2,C003,2011-01-07,W003,71.22140871,97.32140871,133.0491087,23.818,210.077,79.89,,,,,,,0,110,정상,0,0:정상,2011
3,D013,2011-01-07,W005,72.41449614,115.5144961,150.3396961,23.217,204.995,75.39,,,,,,,0,110,정상,0,0:정상,2011
4,D013,2011-01-07,W005,70.62297714,124.8229771,160.7304771,23.938,211.687,75.88,,,,,,,0,110,정상,0,0:정상,2011
5,C007,2011-01-07,W003,73.41454169,106.8145417,142.4195417,23.737,204.485,74.56,,,,,,,0,110,정상,0,0:정상,2011
6,C003,2011-01-07,W003,72.58829348,103.3882935,138.7331935,23.563,205.544,78.75,,,,,,,0,110,정상,0,0:정상,2011
7,C003,2011-01-07,W003,70.25335668,88.35335668,124.2061067,23.902,207.922,73.07,,,,,,,0,110,정상,0,0:정상,2011
8,D005,2011-01-07,W005,70.08844366,95.48844366,130.9848437,23.664,204.532,77.38,,,,,,,0,110,정상,0,0:정상,2011
9,P005,2011-01-07,W007,71.51319366,103.0131937,138.5808937,23.712,207.144,78.55,,,,,,,0,110,정상,0,0:정상,2011
10,D005,2011-01-07,W005,71.5551333,107.6551333,143.2706833,23.744,207.509,75.39,,,,,,,0,110,정상,0,0:정상,2011
12,D004,2011-01-07,W005,71.11195511,109.7119551,145.2034051,23.661,205.219,73.54,,,,,,,0,110,정상,0,0:정상,2011
12,C003,2011-01-07,W003,72.11484265,110.9148427,146.8756927,23.974,209.797,73.42,,,,,,,0,110,정상,0,0:정상,2011
13,D013,2011-01-07,W005,70.71473405,81.71473405,117.5477341,23.889,209.618,75.44,,,,,,,0,110,정상,0,0:정상,2011
14,C001,2011-01-07,W003,69.98211292,109.1821129,144.0085129,23.218,207.037,75.23,,,,,,,0,110,정상,0,0:정상,2011
15,C003,2011-01-07,W003,71.90626736,96.10626736,131.3939674,23.525,200.842,73.62,,,,,,,0,110,정상,0,0:정상,2011
16,C003,2011-01-07,W003,72.69765786,110.8976579,146.5686579,23.781,214.847,77.88,,,,,,,0,110,정상,0,0:정상,2011
17,D005,2011-01-07,W005,70.98027022,104.0802702,140.1020202,24.015,205.937,77.15,,,,,,,0,110,정상,0,0:정상,2011
18,P005,2011-01-07,W007,70.15851885,82.25851885,117.5589189,23.534,203.645,79.26,,,,,,,0,110,정상,0,0:정상,2011
19,P002,2011-01-07,W007,69.26874368,83.16874368,118.3271437,23.439,205.855,76.31,,,,,,,0,110,정상,0,0:정상,2011
21,D005,2011-01-07,W005,72.20700139,113.5070014,148.8728014,23.577,209.385,79.14,,,,,,,0,110,정상,0,0:정상,2011
22,C006,2011-01-07,W003,72.8971666,101.3971666,136.9691666,23.715,206.626,71.51,,,,,,,0,110,정상,0,0:정상,2011
23,D004,2011-01-07,W005,70.828125,111.328125,146.206375,23.252,204.451,73.71,,,,,,,0,110,정상,0,0:정상,2011
24,P004,2011-01-07,W007,69.99332892,117.7933289,153.3805789,23.725,204.418,71.58,,,,,,,0,110,정상,0,0:정상,2011
25,D004,2011-01-07,W005,69.29851972,106.5985197,142.2557197,23.771,207.801,76.56,,,,,,,0,110,정상,0,0:정상,2011
1,C003,2011-01-08,W003,71.69648233,100.5964823,136.6307323,24.023,209.009,77.84,,,,,,,0,110,정상,0,0:정상,2011
2,D013,2011-01-08,W005,70.06353723,112.1635372,147.3706372,23.471,202.89,70.51,,,,,,,0,110,정상,0,0:정상,2011
3,P005,2011-01-08,W007,70.12278428,128.1227843,164.5009843,24.252,215.648,73.56,,,,,,,0,110,정상,0,0:정상,2011
20,D002,2011-01-08,W005,72.69966706,108.3996671,143.4726671,23.382,201.297,71.41,,,,,,,0,110,정상,0,0:정상,2011
26,D004,2011-01-08,W005,69.02601996,107.92602,144.05362,24.085,218.9,75.44,,,,,,,0,110,정상,0,0:정상,2011
27,P004,2011-01-08,W007,70.27504635,119.1750464,154.5809464,23.604,203.463,76.92,,,,,,,0,110,정상,0,0:정상,2011
28,D004,2011-01-08,W005,71.576924,101.676924,136.724224,23.365,205.697,74.72,,,,,,,0,110,정상,0,0:정상,2011
29,C002,2011-01-08,W003,71.80796132,123.3079613,159.2848113,23.985,211.799,72.06,,,,,,,0,110,정상,0,0:정상,2011
30,P004,2011-01-08,W007,71.20288848,126.3028885,161.5271385,23.483,206.459,71.45,,,,,,,0,110,정상,0,0:정상,2011
1,P004,2011-01-10,W007,71.68480855,128.6848086,164.4641586,23.853,214.681,75.73,,,,,,,0,110,정상,0,0:정상,2011
2,C001,2011-01-10,W003,72.23232287,102.0323229,137.2813729,23.499,205.014,78.22,,,,,,,0,110,정상,0,0:정상,2011
3,C007,2011-01-10,W003,71.81747269,102.5174727,138.0381227,23.68,206.885,71.11,,,,,,,0,110,정상,0,0:정상,2011
4,D004,2011-01-10,W005,72.33951615,122.4395162,158.1476662,23.805,208.862,73.74,,,,,,,0,110,정상,0,0:정상,2011
5,C007,2011-01-10,W003,71.4284858,125.1284858,159.5910858,22.975,198.316,,쿠킹실,충전,9:55,10:05,10.0,W003452,1,96,충전,2,2:공정 중 발생,2011
6,D007,2011-01-10,W005,73.185621,110.385621,146.038171,23.768,210.005,80.15,,,,,,,0,110,정상,0,0:정상,2011
7,D003,2011-01-10,W005,72.09004316,96.89004316,132.3719932,23.655,205.186,73.75,,,,,,,0,110,정상,0,0:정상,2011
8,P004,2011-01-10,W007,71.30996225,107.2099623,142.8593123,23.766,205.496,79.97,,,,,,,0,110,정상,0,0:정상,2011
9,C001,2011-01-10,W003,70.40270133,92.40270133,127.6157513,23.475,204.546,71.88,,,,,,,0,110,정상,0,0:정상,2011
10,P004,2011-01-10,W007,72.05432779,115.4543278,150.7249278,23.514,208.182,72.64,,,,,,,0,110,정상,0,0:정상,2011
11,C003,2011-01-10,W003,70.6103442,87.5103442,123.1437442,23.756,206.462,72.65,,,,,,,0,110,정상,0,0:정상,2011
12,C005,2011-01-10,W003,71.4183942,94.4183942,129.8937442,23.65,208.124,75.9,,,,,,,0,110,정상,0,0:정상,2011
13,C001,2011-01-10,W003,69.41418745,72.21418745,107.7590375,23.697,206.986,77.85,,,,,,,0,110,정상,0,0:정상,2011
14,C001,2011-01-10,W003,71.00383644,98.80383644,134.6016364,23.865,208.861,79.35,,,,,,,0,110,정상,0,0:정상,2011
15,P004,2011-01-10,W007,72.3605259,117.3605259,152.3387259,23.319,209.976,75.9,,,,,,,0,110,정상,0,0:정상,2011
16,C006,2011-01-10,W003,73.15976211,95.15976211,130.7519121,23.728,213.227,78.94,,,,,,,0,110,정상,0,0:정상,2011
17,C004,2011-01-10,W003,70.64933315,105.1493332,139.6801832,23.021,200.541,,쿠킹실,충진 미종료,22:32,1:16,164.0,W003721,1,97,충진 미종료,2,2:공정 중 발생,2011
18,C001,2011-01-10,W003,72.07352909,110.5735291,145.4040291,23.22,202.536,70.77,,,,,,,0,110,정상,0,0:정상,2011
19,C006,2011-01-10,W003,71.3108351,132.2108351,166.2825851,22.715,197.757,,쿠킹실,충전,23:48,0:36,48.0,W003452,1,96,충전,2,2:공정 중 발생,2011
1,D013,2011-01-11,W005,73.3541027,91.3541027,126.4906027,23.424,212.354,73.43,,,,,,,0,110,정상,0,0:정상,2011
2,C007,2011-01-11,W003,69.3052013,116.3052013,151.7492513,23.629,204.961,72.13,,,,,,,0,110,정상,0,0:정상,2011
3,C003,2011-01-11,W003,70.96442699,112.464427,147.685527,23.481,206.024,77.7,,,,,,,0,110,정상,0,0:정상,2011
4,D005,2011-01-11,W005,70.56645785,98.56645785,133.3769579,23.207,202.733,75.5,,,,,,,0,110,정상,0,0:정상,2011
5,C007,2011-01-11,W003,71.95125861,113.7512586,148.8649086,23.409,204.408,71.59,,,,,,,0,110,정상,0,0:정상,2011
6,D005,2011-01-11,W005,71.7695452,91.2695452,126.6828952,23.609,209.999,71.59,,,,,,,0,110,정상,0,0:정상,2011
7,C003,2011-01-11,W003,69.9266261,104.2266261,138.7197261,22.995,203.453,,쿠킹실,충전,11:13,12:00,47.0,W003452,1,96,충전,2,2:공정 중 발생,2011
8,C001,2011-01-11,W003,70.41505173,85.11505173,121.3086517,24.129,213.486,80.64,,,,,,,0,110,정상,0,0:정상,2011
9,C002,2011-01-11,W003,72.40669494,101.3066949,136.3784449,23.381,207.463,77.83,,,,,,,0,110,정상,0,0:정상,2011
10,C002,2011-01-11,W003,71.97877078,92.37877078,128.3742208,23.997,209.459,77.04,,,,,,,0,110,정상,0,0:정상,2011
11,C006,2011-01-11,W003,71.37067191,107.5706719,143.3459219,23.85,211.997,75.91,,,,,,,0,110,정상,0,0:정상,2011
12,C001,2011-01-11,W003,71.29061125,106.5906113,142.4397113,23.899,212.674,73.14,,,,,,,0,110,정상,0,0:정상,2011
13,C003,2011-01-11,W003,71.93690405,103.2369041,138.4759541,23.493,205.893,72.82,,,,,,,0,110,정상,0,0:정상,2011
14,P004,2011-01-11,W007,72.39367305,112.0936731,147.6339231,23.694,204.588,75.42,,,,,,,0,110,정상,0,0:정상,2011
15,D011,2011-01-11,W005,72.04141483,76.94141483,112.4073648,23.644,210.749,78.0,,,,,,,0,110,정상,0,0:정상,2011
16,C003,2011-01-11,W003,71.71352751,87.41352751,122.6022775,23.459,206.034,79.34,,,,,,,0,110,정상,0,0:정상,2011
20,C004,2011-01-11,W003,71.80623335,89.90623335,125.0652834,23.439,207.826,78.08,,,,,,,0,110,정상,0,0:정상,2011
21,D004,2011-01-11,W005,69.82173327,100.0217333,134.8143333,23.195,203.999,,충전실,노즐,2:35,2:42,7.0,W0056E1,1,28,노즐,2,2:공정 중 발생,2011
22,D011,2011-01-11,W005,71.26382139,107.8638214,142.7256714,23.241,205.72,76.11,,,,,,,0,110,정상,0,0:정상,2011
23,D011,2011-01-11,W005,71.94824173,102.1482417,137.2780917,23.42,209.133,75.23,,,,,,,0,110,정상,0,0:정상,2011
24,P004,2011-01-11,W007,70.74958813,107.0495881,142.4326381,23.589,204.416,71.52,,,,,,,0,110,정상,0,0:정상,2011
1,C001,2011-01-12,W003,70.64110678,96.24110678,131.6558068,23.61,204.932,79.6,,,,,,,0,110,정상,0,0:정상,2011
2,P005,2011-01-12,W007,69.86611986,105.5661199,141.6234699,24.038,209.14,80.65,,,,,,,0,110,정상,0,0:정상,2011
3,D003,2011-01-12,W005,69.99307321,87.09307321,121.5533732,22.974,208.431,,충전실,인쇄불량,11:59,13:39,100.0,W005311,1,83,인쇄불량,3,3:기타,2011
4,C003,2011-01-12,W003,70.87539362,93.87539362,128.8714936,23.331,205.033,76.55,,,,,,,0,110,정상,0,0:정상,2011
5,P005,2011-01-12,W007,71.64716006,103.1471601,138.3739101,23.485,205.542,77.89,,,,,,,0,110,정상,0,0:정상,2011
6,C007,2011-01-12,W003,71.6229304,104.9229304,139.6204304,23.132,203.581,,쿠킹실,충전,14:30,14:40,10.0,W003452,1,96,충전,2,2:공정 중 발생,2011
7,C002,2011-01-12,W003,70.93385727,108.3338573,143.9173573,23.722,209.892,74.45,,,,,,,0,110,정상,0,0:정상,2011
8,C002,2011-01-12,W003,71.20648175,99.90648175,135.6699318,23.842,206.332,77.86,,,,,,,0,110,정상,0,0:정상,2011
9,D011,2011-01-12,W005,72.69605418,136.1960542,172.2152542,24.013,213.121,78.68,,,,,,,0,110,정상,0,0:정상,2011
10,C003,2011-01-12,W003,70.58919129,122.6891913,158.4109913,23.815,209.805,79.09,,,,,,,0,110,정상,0,0:정상,2011
11,C008,2011-01-12,W003,70.82675441,111.7267544,146.4954544,23.179,205.069,,쿠킹실,기타,19:32,20:48,76.0,W003711,1,23,기타,3,3:기타,2011
12,D003,2011-01-12,W005,71.29268011,97.79268011,133.2337801,23.627,205.471,79.14,,,,,,,0,110,정상,0,0:정상,2011
13,C001,2011-01-12,W003,72.0212709,109.2212709,144.4891209,23.512,208.128,79.23,,,,,,,0,110,정상,0,0:정상,2011
17,D011,2011-01-12,W005,72.33137097,127.131371,163.161421,24.02,213.329,73.94,,,,,,,0,110,정상,0,0:정상,2011
18,D011,2011-01-12,W005,72.22663341,105.2266334,140.8111334,23.723,212.73,79.29,,,,,,,0,110,정상,0,0:정상,2011
19,C006,2011-01-12,W003,70.50554656,109.1055466,143.8909466,23.19,203.06,,쿠킹실,충전,0:40,4:33,233.0,W003452,1,96,충전,2,2:공정 중 발생,2011
20,P004,2011-01-12,W007,69.29419434,92.09419434,127.2271943,23.422,212.222,71.82,,,,,,,0,110,정상,0,0:정상,2011
21,D004,2011-01-12,W005,72.90321937,82.80321937,118.2160694,23.609,206.952,71.97,,,,,,,0,110,정상,0,0:정상,2011
22,D011,2011-01-12,W005,71.78348394,102.4834839,137.8825339,23.599,209.38,76.87,,,,,,,0,110,정상,0,0:정상,2011
23,D011,2011-01-12,W005,72.6421809,108.8421809,143.9648809,23.415,210.934,79.18,,,,,,,0,110,정상,0,0:정상,2011
1,C007,2011-01-13,W003,71.87232254,131.4723225,167.0708725,23.732,204.59,78.61,,,,,,,0,110,정상,0,0:정상,2011
2,D005,2011-01-13,W005,73.03167525,94.33167525,128.9951753,23.109,206.533,,충전실,시밍,9:47,10:01,14.0,W0056E2,1,55,시밍,2,2:공정 중 발생,2011
3,D005,2011-01-13,W005,70.8283212,115.5283212,150.3820212,23.236,204.857,75.15,,,,,,,0,110,정상,0,0:정상,2011
4,C002,2011-01-13,W003,73.06342333,109.9634233,145.7463733,23.855,207.88,72.59,,,,,,,0,110,정상,0,0:정상,2011
5,C007,2011-01-13,W003,70.15836772,119.2583677,154.5650677,23.538,204.353,76.82,,,,,,,0,110,정상,0,0:정상,2011
6,D005,2011-01-13,W005,72.87456082,118.5745608,153.4452108,23.247,207.312,70.63,,,,,,,0,110,정상,0,0:정상,2011
7,D005,2011-01-13,W005,70.15447495,121.054475,156.868025,23.876,213.015,72.78,,,,,,,0,110,정상,0,0:정상,2011
8,D005,2011-01-13,W005,72.39285109,118.5928511,154.5281511,23.957,206.835,77.65,,,,,,,0,110,정상,0,0:정상,2011
9,C007,2011-01-13,W003,71.79443672,107.9944367,144.0596367,24.043,215.116,75.34,,,,,,,0,110,정상,0,0:정상,2011
10,C002,2011-01-13,W003,69.82515304,119.425153,154.982453,23.705,207.421,73.5,,,,,,,0,110,정상,0,0:정상,2011
11,D003,2011-01-13,W005,72.37296701,115.372967,150.259917,23.258,205.497,73.78,,,,,,,0,110,정상,0,0:정상,2011
12,D003,2011-01-13,W005,73.00000939,93.80000939,129.1162594,23.544,210.397,78.22,,,,,,,0,110,정상,0,0:정상,2011
13,C003,2011-01-13,W003,70.94821053,89.14821053,125.0699605,23.948,210.248,73.84,,,,,,,0,110,정상,0,0:정상,2011
14,D004,2011-01-13,W005,69.92367106,106.5236711,142.2153711,23.794,208.743,73.92,,,,,,,0,110,정상,0,0:정상,2011
14,P004,2011-01-13,W007,71.69153436,108.5915344,142.7903344,22.799,197.773,,포장실,식사,17:27,18:04,37.0,W007212,1,58,식사,3,3:기타,2011
15,P004,2011-01-13,W007,71.59213546,113.2921355,148.5202355,23.485,208.407,76.44,,,,,,,0,110,정상,0,0:정상,2011
15,P004,2011-01-13,W007,71.14653557,112.9465356,148.4774856,23.687,214.481,79.37,,,,,,,0,110,정상,0,0:정상,2011
16,C006,2011-01-13,W003,71.89150148,109.6915015,145.2914015,23.733,214.32,71.95,,,,,,,0,110,정상,0,0:정상,2011
